site,sllb,slll,sldul,slsat,slrgf,sksat,slbdm,SLOM,sloc,slni,slcly,slsil,slsnd,slphw,ICH2O,ICNH4M,ICNH4M,awc,sksat_d,USCLAY,USSILT,USSAND,OC,BD,PH_H2O,DEPTH_M,hz_tp,hz_bt
23,60,0.19,0.31,0.42,0.5,1.6,1.4,0.34,0.2,0.02,22,45,33,6.5,28,10.7,1.9,36,38.4,22,45,33,0.2,1.4,6.5,45,30,60
23,90,0.215,0.315,0.43,0.4,1.5,1.4,0.31,0.18,0.02,22,45,33,6.5,29,8.3,1.4,30,36,22,45,33,0.18,1.4,6.5,75,60,90
23,120,0.25,0.317,0.44,0.3,1.4,1.4,0.29,0.17,0.02,22,45,33,6.5,30.025,1.1,0.2,20,33.6,22,45,33,0.17,1.4,6.5,105,90,120
23,150,0.27,0.32,0.44,0.3,1.3,1.4,0.26,0.15,0.02,22,45,33,6.5,30.75,1.1,0.2,15,31.2,22,45,33,0.15,1.4,6.5,135,120,150
23,180,0.29,0.325,0.44,0.1,1.2,1.4,0.15,0.09,0.01,22,45,33,6.5,31.625,1.1,0.2,11,28.8,22,45,33,0.09,1.4,6.5,165,150,180
24,10,0.21,0.39,0.44,1,1,1.2,1.72,1,0.1,40,25,35,6.5,34.5,3.6,0.6,18,24,40,25,35,1,1.2,6.5,95,0,10
24,30,0.23,0.41,0.467,0.7,0.8,1.2,1.07,0.62,0.06,40,25,35,6.5,36.5,7.2,1.3,36,19.2,40,25,35,0.62,1.2,6.5,20,10,30
24,60,0.26,0.415,0.467,0.4,0.6,1.2,0.84,0.49,0.05,40,25,35,6.5,37.625,10.7,1.9,47,14.4,40,25,35,0.49,1.2,6.5,45,30,60
24,90,0.29,0.42,0.47,0.2,0.5,1.2,0.77,0.45,0.05,40,25,35,6.5,38.75,8.3,1.4,39,12,40,25,35,0.45,1.2,6.5,75,60,90
24,120,0.32,0.425,0.475,0.1,0.4,1.2,0.74,0.43,0.04,40,25,35,6.5,39.875,1.1,0.2,32,9.6,40,25,35,0.43,1.2,6.5,105,90,120
